ISCI Code,Title,Media,Market(DMA),Length,Category,Value Prop,Drive Link
LRCH35106,Tiny Check 25 CHI,TV,CHI,15,Results,,https://drive.google.com/file/d/1sfDDXYbEPQJTX0GdRIwEMZrtrRnE642u/view?usp=sharing
LRCH35107,Tiny Check 25 CHI BLK,TV,CHI,15,Results,,https://drive.google.com/file/d/1S1_pWAk_3hHQjfqGRa39TFzDccHyR7rc/view?usp=sharing
LRCH36007,Local26_Chicago,TV,CHI,15,Local,Local,https://drive.google.com/file/d/1QVn8BHj9ew8em-gVH5DjDF0d9nOyXgX5/view?usp=sharing
LRCH36048,Local26_Chicago BLK,TV,CHI,15,Local,Local,https://drive.google.com/file/d/1_C_rlnm2RSK04bR-YwpDf0GXK7cN1d3j/view?usp=sharing
LRCH36067,Legal Genie CHI,TV,CHI,15,Brand,Experience,https://drive.google.com/file/d/1mS530aKCM4XYH1oYL03FYPvWd6Bxv4ns/view?usp=sharing
LRCH36070,Legal Genie CHI BLK,TV,CHI,15,Brand,Experience,https://drive.google.com/file/d/1I7PA2hqrqlmG5G1cmpYvcam5RL97MCWn/view?usp=sharing
LRCH36077,Done it again CHI,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1rUf7eVxo6VXI_VAhOrnGQrFEmWsfBhwg/view?usp=sharing
LRCH36078,Done it again CHI BLK,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1RZfYfS21BmLnm41zGSv7skSaz9ZwAtGd/view?usp=sharing
LRCH36085,Accidents Happen Fast CHI,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1aulM7APvQ9FK7LAL_v1hau99L2c0-A8R/view?usp=sharing
LRCH36088,Accidents Happen Fast CHI BLK,TV,CHI,15,Auto Accidents,,https://drive.google.com/file/d/1r21fh62ShTigixQl1f8oZEqTC8Sbkf4Z/view?usp=sharing
LRFS35048,Yma Flagstaff Best 30,Radio,KGB,30,Brand,Experience,https://drive.google.com/file/d/1U24wcodKqwc9b2VzPt0vKX0xJQjAjZJW/view?usp=sharing
LRFS35137,Rear End Flagstaff,Radio,KGB,30,Auto Accidents,,https://drive.google.com/file/d/1W9k3JH9wlzXmkVG0TERHiRd4-I_7jEFw/view?usp=sharing
LRFS35150,MAKE THEM PAY Flagstaff,Radio,KGB,30,Results,Results,https://drive.google.com/file/d/1jyomkY60u56x8XP6325MPTatWFZ9J-Hy/view?usp=sharing
LRGB35198,LRGB x1r2,TV,KGB,15,Auto Accidents,,https://drive.google.com/file/d/1vOrPHah2v_xs82JdG1QeuOeh5Qhs2O6H/view?usp=sharing
LRGB35199,LRGB x2r2,TV,KGB,15,Auto Accidents,,https://drive.google.com/file/d/1ZoGdECYdQPNDnpm5W6uAxOFMyT9rQZYG/view?usp=sharing
LRGB35200,LRGB x3r,TV,KGB,15,Auto Accidents,,https://drive.google.com/file/d/1o261dm6AxMsg_MBAe_EpORhFF49Yqaei/view?usp=sharing
LRGB35201,LRGB x4r2,TV,KGB,15,Auto Accidents,,https://drive.google.com/file/d/1ECLmNHJOWq1EhdVa0S2r56PorHn04BEe/view?usp=sharing
LRLV35020,VEGAS LAW 30,Radio,LAS,30,Local,Local,https://drive.google.com/file/d/15nu1K0UcQLmoYYiMx_MDXhLj-5QMayet/view?usp=sharing
LRLV35139,Rear End LAS,Radio,LAS,30,Auto Accidents,,https://drive.google.com/file/d/1qGMCxlZfzPrVvixjObtBzlSTrYS9jYKL/view?usp=sharing
LRLV35152,MAKE THEM PAY LAS,Radio,LAS,30,Results,Results,https://drive.google.com/file/d/1hefj0YsXDfW4zp2FAnO7IHJXgft4PCh1/view?usp=sharing
LRLV31373,LAS_0523,TV,LAS,05,Auto Accidents,,https://drive.google.com/file/d/1UCmRqYMXz8WjX9W57f-YzpCg1c5dNEFv/view
LRLV31380,LAS_1023,TV,LAS,10,Auto Accidents,,https://drive.google.com/file/d/1CceoCuj1dtt-ggOumXq7mtjjMrZS-vpD/view
LRLV34015,Big Rigs23,TV,LAS,15,Trucking,Big Cases,https://drive.google.com/file/d/1KXftsJ0IwMwtfcLiSBmeZQ86iOxzCMYZ/view
LRLV34023,Check List,TV,LAS,15,Results,,https://drive.google.com/file/d/1sEeHcxF97qwO_svHzlkwCOL4hMiLYiDp/view
LRLV34109,Settlements2,TV,LAS,15,Results,Results,https://drive.google.com/file/d/1jmNWricdUf-ZC6PL0GlruupyEC5EcNiz/view
LRLV35054,Ins Stop LAS,TV,LAS,15,Auto Accidents,,https://drive.google.com/file/d/1aAeWOHU7hWEPiSDDezkbjRRTNfVTalrX/view?usp=sharing
LRLV35062,Wreck Check LAS,TV,LAS,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1Hsddolxeu0OgsY6hxSSXUQa1ra3drWqx/view?usp=sharing
LRLV35070,Weekend25 LAS,TV,LAS,15,Auto Accidents,,https://drive.google.com/file/d/13nXhnrHNLaYWMpK97e3jkv_ay5Vb3nf0/view?usp=sharing
LRLV35078,Overnight25 LAS,TV,LAS,15,Auto Accidents,,https://drive.google.com/file/d/1MYaNp-C890lme6T1TSM-iYdJJnbVGvuS/view?usp=sharing
LRLV35088,Get LNR25 LAS,TV,LAS,15,Auto Accidents,,https://drive.google.com/file/d/1v60qLw08TQqQOqo1WbQHmJIx3izxeHAH/view?usp=sharing
LRLV35096,If your wreck 25 LAS,TV,LAS,15,Auto Accidents,Aggressive,https://drive.google.com/file/d/1_0U4BiszoFIzb8uvyuY1KokYP5JcuSkH/view?usp=sharing
LRLV35104,Tiny Check 25 LAS,TV,LAS,15,Results,,https://drive.google.com/file/d/1ITAeVGW3SrDL1UTR-joHXu31vXioIVPS/view?usp=sharing
LRLV36065,Legal Genie LAS,TV,LAS,15,Brand,Experience,https://drive.google.com/file/d/1pxishwXwJzm8TFHfcMIMEUHHD_zdQ0vT/view?usp=sharing
LRLV36079,Done it again LAS,TV,LAS,15,Auto Accidents,,https://drive.google.com/file/d/1h3QbabG-yMPOyqaNIc-KRWpkNfLAoWSK/view?usp=sharing
LRLV36089,Accidents Happen Fast LAS,TV,LAS,15,Auto Accidents,,https://drive.google.com/file/d/1Oppv0jNczlippvwcYR_P2S9cVUQPMzXw/view?usp=sharing
LRPH35018,PHX_TUC LAW 30,Radio,PHX,15,Brand,,https://drive.google.com/file/d/1D8OZLYg7HWyKmMK1cdd6nHG_SYTu6nlK/view?usp=sharing
LRPH35047,PHX TUC Best 30,Radio,PHX,15,Brand,Experience,https://drive.google.com/file/d/1QxEKbY5G8d38eQvtRN15NfFxKeJLmIqh/view
LRPH35109,Help YAYA 1 esp [SP],Radio,PHX,30,Auto Accidents,,https://drive.google.com/file/d/1bucP-2HcRyYPiubQi6cUJvenwOjT4OtT/view?usp=sharing
