Frame.io File,Spot #,Code,Concept,Length,ISCI Title,OKC ISCI,TUL ISCI
View PDV 1255 AA Fired Up.mp4,1255,AA,Fired Up,30,Fired Up_30,OKCPDV2630077T,TULPDV2630077T
View PDV 1256 AA MC Invisible Rider.mp4,1256,AA,MC Invisible Rider,30,MC Invisible Rider_30,OKCPDV2630078T,TULPDV2630078T
View PDV 1257 AA MC Accusations.mp4,1257,AA,MC Accusations,30,MC Accusations_30,OKCPDV2630079T,TULPDV2630079T
View PDV 1258 AA MC Game Over.mp4,1258,AA,MC Game Over,30,MC Game Over_30,OKCPDV2630080T,TULPDV2630080T
View PDV 1259 AA Exhibit A Results.mp4,1259,AA,Exhibit A Results,30,Exhibit A Results_30,OKCPDV2630081T,TULPDV2630081T
View PDV 1260 AA Exhibit A Results 15.mp4,1260,AA,Exhibit A Results,15,Exhibit A Results_15,OKCPDV2615020T,TULPDV2615020T
View PDV 1261 AA Exhibit A Results 10.mp4,1261,AA,Exhibit A Results,10,Exhibit A Results_10,OKCPDV2610045T,TULPDV2610045T
View PDV 1262 AA Fired Up 15.mov,1262,AA,Fired Up,15,Fired Up_15,OKCPDV2615021T,TULPDV2615021T
View PDV 1263 AA Fired Up 10.mp4,1263,AA,Fired Up,10,Fired Up_10,OKCPDV2610046T,TULPDV2610046T
View PDV 1264 AA MC Game Over 15.mp4,1264,AA,MC Game Over,15,MC Game Over_15,OKCPDV2615022T,TULPDV2615022T
View PDV 1265 AA MC Accusations 15.mp4,1265,AA,MC Accusations,15,MC Accusations_15,OKCPDV2615023T,TULPDV2615023T
View PDV 1266 AA How Bad.mp4,1266,AA,How Bad,30,How Bad_30,OKCPDV2630082T,TULPDV2630082T
View PDV 1267 AA Family Time.mp4,1267,AA,Family Time,30,Family Time_30,OKCPDV2630083T,TULPDV2630083T
View PDV 1268 AA Not the Suing Type.mp4,1268,AA,Not the Suing Type,30,Not the Suing Type_30,OKCPDV2630084T,TULPDV2630084T
View PDV 1269 AA NFG One Thing.mp4,1269,AA,NFG One Thing,30,NFG One Thing_30,OKCPDV2630085T,TULPDV2630085T
View PDV 1270 AA Not the Suing Type 10.mp4,1270,AA,Not the Suing Type,10,Not the Suing Type_10,OKCPDV2610047T,TULPDV2610047T
View PDV 1271 AA NFG One Thing 15.mp4,1271,AA,NFG One Thing,15,NFG One Thing_15,OKCPDV2615024T,TULPDV2615024T
View PDV 1272 AA NFG One Thing 10.mp4,1272,AA,NFG One Thing,10,NFG One Thing_10,OKCPDV2610048T,TULPDV2610048T
View PDV 1273 AA How Bad 15.mp4,1273,AA,How Bad,15,How Bad_15,OKCPDV2615025T,TULPDV2615025T
View PDV 1274 AA How Bad 10.mp4,1274,AA,How Bad,10,How Bad_10,OKCPDV2610049T,TULPDV2610049T
View PDV 1275 AA Family Time 15.mp4,1275,AA,Family Time,15,Family Time_15,OKCPDV2615026T,TULPDV2615026T
